label1,label2,constellation,magnitude,season,size,RA,DEC,type,notes,,,
NGC317A,NGC317-1,ANDROMEDA,14.5,autumn,1.4,14.425,43.8,Galaxy,eeF;pS;lE;Dclose f,,,
NGC317B,NGC317-2,ANDROMEDA,13.9,autumn,1.1,14.425,43.78333333,Galaxy,,,,
NGC389,UGC703,ANDROMEDA,13.8,autumn,1.3,17.125,39.7,Galaxy,eF;eS;R;* nr ,,,
NGC393,UGC707,ANDROMEDA,12.5,autumn,1.7,17.15,39.65,Galaxy,F;vS;vlE;gbM;4 S st nr ,,,
NGC404,UGC718,ANDROMEDA,10.3,autumn,4.3,17.35,35.71666667,Galaxy,pB;cL;R;gbM, H ,,
NGC425,UGC758,ANDROMEDA,12.6,autumn,1,18.25,38.76666667,Galaxy,vF;vS;R;lbM;* 11 att,,,
NGC431,UGC776,ANDROMEDA,12.9,autumn,1.4,18.525,33.7,Galaxy,F;S;vsbM ,,,
NGC464,,ANDROMEDA,99.9,autumn,,19.85,34.95,2 Star,S,,,
NGC477,UGC886,ANDROMEDA,13,autumn,2.2,20.325,40.48333333,Galaxy,vF;pS;vlE;vglbM,,,
NGC512,UGC944,ANDROMEDA,13.2,autumn,1.6,21,33.9,Galaxy,vF;vS,,,
NGC513,UGC953,ANDROMEDA,12.9,autumn,0.7,21.1,33.8,Galaxy,F;S;stellar,,,
NGC523,NGC537,ANDROMEDA,12.7,autumn,2.5,21.325,34.01666667,Galaxy,Dneb;vF;vS; pos 90 deg; dist 30'' ,,,
NGC537,NGC523,ANDROMEDA,13.5,autumn,2.5,21.325,34.01666667,Galaxy,stellar;(=523) ,,,
NGC528,UGC988,ANDROMEDA,12.5,autumn,1.7,21.4,33.66666667,Galaxy,F;pL;R;lbM,,,
NGC529,UGC955,ANDROMEDA,12.1,autumn,2.4,21.425,34.71666667,Galaxy,pB;vS;sbM;p of 2,,,
NGC531,UGC1012,ANDROMEDA,13.8,autumn,1.8,21.575,34.75,Galaxy,F;S;R,,,
NGC536,UGC1013,ANDROMEDA,12.4,autumn,3,21.6,34.7,Galaxy,pB;pL;gbM;f of 2,,,
NGC542,MCG6-4-22,ANDROMEDA,14.7,autumn,1,21.625,34.68333333,Galaxy,eF;diffic ,,,
NGC551,UGC1034,ANDROMEDA,12.7,autumn,1.8,21.925,37.18333333,Galaxy,vF;S;E;vglbM;*13 nr ,,,
NGC561,UGC1048,ANDROMEDA,12.9,autumn,1.6,22.075,34.3,Galaxy,eF;pL;R ,,,
NGC562,UGC1049,ANDROMEDA,13.3,autumn,1.3,22.125,48.38333333,Galaxy,eF;pS;R;D* nr S,,,
NGC573,UGC1078,ANDROMEDA,13.1,autumn,0.4,22.7,41.25,Galaxy,vF;vS;R;gbM,,,
NGC591,UGC1111,ANDROMEDA,12.9,autumn,1.3,23.375,35.66666667,Galaxy,eF;pS;R;lbM;B* sf ,,,
NGC590,UGC1109,ANDROMEDA,12.9,autumn,2.6,23.425,44.93333333,Galaxy,F;vS;(rr) ,,,
NGC605,UGC1128,ANDROMEDA,12.9,autumn,2.2,23.75,41.25,Galaxy,vF;vS;R;bM,,,
NGC620,UGC1150,ANDROMEDA,14,autumn,1,24.25,42.31666667,Galaxy,eF;vS;R;lbM,,,
PK130-11.1,M1-1,ANDROMEDA,14.3,autumn,0.1,24.325,50.46666667,Planetary Nebula,,,,
NGC653,UGC1193,ANDROMEDA,13.4,autumn,1.5,25.6,35.63333333,Galaxy,vF;pL;mE;lbM;sevinv ,,,
NGC662,UGC1220,ANDROMEDA,12.9,autumn,0.8,26.15,37.7,Galaxy,F;S;R;mbM ,,,
NGC668,UGC1238,ANDROMEDA,13.1,autumn,1.8,26.6,36.46666667,Galaxy,pF;pS;R;gbM,,,
NGC679,UGC1283,ANDROMEDA,12.3,autumn,2.1,27.425,35.78333333,Galaxy,F;stellar ,,,
NGC687,UGC1298,ANDROMEDA,12.3,autumn,1.4,27.65,36.36666667,Galaxy,vF;stellar,,,
NGC700,ZwG522.30,ANDROMEDA,14.4,autumn,0.8,28.075,36.03333333,Galaxy,eF;vS;R;sp 703 ,,,
NGC704,UGC1343,ANDROMEDA,14,autumn,0.6,28.15,36.13333333,Galaxy,vF;vS;R;2nd of 4,,,
Abell262,,ANDROMEDA,13,autumn,100.8,28.175,36.15,Galaxy clust.,,,,
NGC703,UGC1346,ANDROMEDA,13.3,autumn,1.2,28.175,36.16666667,Galaxy,vF;vS;R;0.0666667t of 4,,,
NGC705,UGC1345,ANDROMEDA,13.6,autumn,1.2,28.175,36.15,Galaxy,vF;vS;R;3rd of 4,,,
NGC708,UGC1348,ANDROMEDA,12.7,autumn,3,28.2,36.15,Galaxy,F;pL;bM;4th of 4,,,
NGC709,ZwG522.40,ANDROMEDA,14.3,autumn,1,28.2,36.21666667,Galaxy,vF;pS;bet 2*;group sp,,,
NGC710,UGC1349,ANDROMEDA,13.7,autumn,1.3,28.225,36.05,Galaxy,vF;pS;2*S ,,,
NGC712,UGC1352,ANDROMEDA,12.8,autumn,1.3,28.275,36.81666667,Galaxy,vF;R;am pB stars,,,
NGC714,UGC1358,ANDROMEDA,13.1,autumn,1.5,28.375,36.21666667,Galaxy,F;vS;R;2*13 p & np ,,,
NGC717,UGC1363,ANDROMEDA,13.9,autumn,1.3,28.475,36.23333333,Galaxy,vF;pS;*15 sf 1',,,
NGC721,UGC1376,ANDROMEDA,13.5,autumn,1.7,28.7,39.38333333,Galaxy,eF;pL,,,
UGC1385,Mrk2,ANDROMEDA,13.4,autumn,0.8,28.725,36.91666667,Galaxy,,,,
NGC732,UGC1406,ANDROMEDA,13.5,autumn,1.4,29.125,36.8,Galaxy,vF*Inv vF;vS;R;neby ,,,
NGC752,OCL363,ANDROMEDA,5.7,autumn,50,29.425,37.66666667,Open Cluster60,Cl;vvL;Ri;*L & S;C , CH ,,
NGC753,UGC1437,ANDROMEDA,12.3,autumn,2.5,29.425,35.91666667,Galaxy,pB;pL;R;gmbM ,,,
NGC759,UGC1440,ANDROMEDA,12.7,autumn,1.8,29.45,36.35,Galaxy,Cl;vS;R ,,,
NGC746,UGC1438,ANDROMEDA,13,autumn,1.9,29.475,44.91666667,Galaxy,vF;pS;lE;sevnr ,,,
NGC797,UGC1541,ANDROMEDA,12.6,autumn,1.6,30.875,38.11666667,Galaxy,vF;S;iR;sbM;* nr,,,
NGC801,UGC1550,ANDROMEDA,13.1,autumn,3.1,30.925,38.26666667,Galaxy,eF;pS;iR;D* close f ,,,
NGC812,UGC1598,ANDROMEDA,11.2,autumn,3,31.725,44.56666667,Galaxy,eF;pL;E45;bM ,,,
NGC818,UGC1633,ANDROMEDA,12.5,autumn,2.9,32.175,38.78333333,Galaxy,pB;cL;lE;mbM ,,,
NGC828,UGC1655,ANDROMEDA,12.3,autumn,2.9,32.55,39.18333333,Galaxy,pB;S;iR;D* f 15'' ,,,
NGC834,UGC1672,ANDROMEDA,13.1,autumn,1.1,32.75,37.66666667,Galaxy,vF;S;lE ,,,
NGC841,UGC1676,ANDROMEDA,12.6,autumn,1.8,32.825,37.5,Galaxy,pB;vS;mbMN=*13;14 ,,,
NGC846,NGC847,ANDROMEDA,12.1,autumn,1.9,33.05,44.56666667,Galaxy,eF;vS;R;gbM,,,
NGC847,NGC846,ANDROMEDA,13.1,autumn,1.9,33.05,44.56666667,Galaxy,vF;pL;R ,,,
NGC845,UGC1695,ANDROMEDA,13.5,autumn,1.7,33.075,37.48333333,Galaxy,vF;iF;stellar ,,,
NGC891,UGC1831,ANDROMEDA,9.9,autumn,13.1,35.65,42.35,Galaxy,B;vL;vmE22,BCH ,,
NGC898,UGC1842,ANDROMEDA,12.9,autumn,1.8,35.825,41.95,Galaxy,eF;vS;lE ,,,
Abell347,,ANDROMEDA,13,autumn,56,36.275,41.86666667,Galaxy clust.,13''-2 gals F;pS;R;nBM;6 others vF;S at 165X ,,,
NGC906,UGC1868,ANDROMEDA,12.9,autumn,1.8,36.325,42.08333333,Galaxy,eF;iE,,,
NGC909,UGC1872,ANDROMEDA,13.3,autumn,0.9,36.35,42.03333333,Galaxy,vF;vS;vS* inv ,,,
NGC910,UGC1875,ANDROMEDA,12.2,autumn,2,36.35,41.81666667,Galaxy,vF;pS;stellar ,,,
NGC911,UGC1878,ANDROMEDA,12.7,autumn,1.7,36.425,41.95,Galaxy,eF;vS;R;bM,,,
NGC912,MCG7-6-15,ANDROMEDA,15,autumn,0.9,36.425,41.78333333,Galaxy,F;vS;R;bM ,,,
NGC913,,ANDROMEDA,15.8,autumn,0.5,36.425,41.8,Galaxy,eF;vS;lbM ,,,
NGC914,UGC1887,ANDROMEDA,13,autumn,1.8,36.525,42.15,Galaxy,eF;pL;dif ,,,
NGC923,UGC1915,ANDROMEDA,13.7,autumn,0.8,36.9,41.98333333,Galaxy,vF;S;R;gsBM,,,
NGC920,UGC1920,ANDROMEDA,13.9,autumn,1.5,36.975,45.95,Galaxy,eF;eS;R;1or2 eF* nr ,,,
NGC933,UGC1956,ANDROMEDA,13.8,autumn,1.3,37.325,45.91666667,Galaxy,eF;eS;R;B* nf ,,,
NGC937,UGC1961,ANDROMEDA,14.2,autumn,1.1,37.375,42.25,Galaxy,vF* slightly neb,,,
NGC946,UGC1979,ANDROMEDA,13.2,autumn,1.5,37.65,42.23333333,Galaxy,F;S;R;glbM,,,
NGC956,OCL377,ANDROMEDA,8.9,autumn,8,38.125,44.6,Open Cluster30,Cl;pRi;*9...15 ,,,
UGC2034,PGC9759,ANDROMEDA,13.1,autumn,3.1,38.425,40.53333333,Galaxy,13''-eF;pS;E 1.5X1; PA 0; nBM; *10m E tip,,,
NGC980,UGC2063,ANDROMEDA,13,autumn,1.7,38.825,40.93333333,Galaxy,vF;pS;sp of 2 ,,,
NGC982,UGC2066,ANDROMEDA,12.5,autumn,1.5,38.85,40.86666667,Galaxy,F;S;nf of 2,,,
NGC995,UGC2118,ANDROMEDA,13.4,autumn,1.7,39.625,41.53333333,Galaxy,vF;vS,,,
NGC996,UGC2123,ANDROMEDA,13,autumn,1.4,39.675,41.65,Galaxy,vF;vS,,,
NGC999,IC240,ANDROMEDA,13.5,autumn,0.9,39.7,41.66666667,Galaxy,eF ,,,
NGC1000,MCG7-6-48,ANDROMEDA,15.5,autumn,0.8,39.7,41.46666667,Galaxy,1637;pS;dif,,,
NGC7440,UGC12276,ANDROMEDA,13.5,autumn,1.4,344.625,35.8,Galaxy,eF;S;iR ,,,
NGC7445,MCG6-50-15,ANDROMEDA,15.6,autumn,0.7,344.85,39.1,Galaxy,eF;vS,,,
NGC7446,ZwG515.17,ANDROMEDA,15.7,autumn,0.8,344.875,39.08333333,Galaxy,eF;vS;R;r ,,,
NGC7449,UGC12292,ANDROMEDA,14,autumn,1,344.9,39.15,Galaxy,vF;S;R;vS* in centre,,,
NGC7618,UGC12516,ANDROMEDA,13,autumn,1.2,349.95,42.85,Galaxy,F;S;R;gbM ,,,
NGC7640,UGC12554,ANDROMEDA,11.3,autumn,10,350.525,40.85,Galaxy,cF;L;mE164;vlbM;r ,,,
PK107-13.1,Vy2-3,ANDROMEDA,13.9,autumn,0.076666667,350.75,46.9,Planetary Nebula,,,,
UGC12588,MCG+07-48-005,ANDROMEDA,13.2,autumn,1.9,351.175,41.33333333,Galaxy,,,,
NGC7662,PK106-17.1,ANDROMEDA,8.6,autumn,0.283333333,351.475,42.53333333,Planetary Nebula,!!! Planetary or annular neb;vB;pS;R;blue,BCH ,,
UGC12632,PGC71596,ANDROMEDA,12.1,autumn,4.9,352.5,41,Galaxy,,,,
NGC7686,OCL251,ANDROMEDA,5.6,autumn,15,352.525,49.13333333,Open Cluster20,Cl;P;lC;st 7...11 , H ,,
NGC7707,UGC12683,ANDROMEDA,13.4,autumn,1.3,353.725,44.3,Galaxy,eF;S;R;*9-10 p;vnr ,,,
Av-Hunter1,,ANDROMEDA,99.9,autumn,47,354.45,48.56666667,Open Cluster16,,,,
PK110-12.1,K1-20,ANDROMEDA,16.5,autumn,0.616666667,354.775,48.21666667,Planetary Nebula,,,,
MCG+08-01-016,,ANDROMEDA,12,autumn,1,359.8,46.88333333,Galaxy,Inner Regions Completely Black--MCG,,,
MCG+08-01-018,,ANDROMEDA,12,autumn,0.4,359.975,47.26666667,Galaxy,Inner Regions Very Black--MCG ,,,
NGC2904,ESO434-6,ANTLIA,12.4,spring,1.5,142.575,-29.61666667,Galaxy,F;S;lE;psbM,,,
ESO373-G008,,ANTLIA,12,spring,5.8,143.325,-32.96666667,Galaxy,,,,
PK248+8.1,He2-10,ANTLIA,99.9,spring,0.2,144.05,-25.6,Galaxy,,,,
NGC2973,,ANTLIA,99.9,spring,,145.4,-29.95,3 Star,eF;pS;*8 f,,,
NGC2997,ESO434-35,ANTLIA,9.4,spring,9.2,146.4,-30.81666667,Galaxy,! vF;vL;vgvsbMN 4'';1.15.5 d ,,,
NGC3001,ESO434-38,ANTLIA,11.9,spring,2.9,146.575,-29.56666667,Galaxy,F;S;R;*12 att nf,,,
NGC3038,ESO374-2,ANTLIA,11.6,spring,2.5,147.825,-31.25,Galaxy,pB;pS;R ,,,
NGC3046,,ANTLIA,99.9,spring,,148.325,-26.66666667,1 Star,pF;R;sp of 2 ,,,
NGC3051,ESO499-16,ANTLIA,11.8,spring,2.1,148.5,-26.71666667,Galaxy,pF;S;R;gbM;nf of 2 ,,,
NGC3056,ESO435-7,ANTLIA,11.7,spring,2.1,148.625,-27.7,Galaxy,pB;S;R;vgmbM;*11 att S ,,,
NGC3082,ESO435-18,ANTLIA,12.5,spring,1.8,149.725,-29.65,Galaxy,vF;S;R;D* att ,,,
NGC3084,IC2528,ANTLIA,12.3,spring,1.7,149.775,-26.86666667,Galaxy,vF;S;R;*13 att sf ,,,
NGC3087,ESO374-15,ANTLIA,11.6,spring,2.5,149.775,-33.76666667,Galaxy,pB;S;R;pmbM;bet 2 st,,,
NGC3089,ESO435-24,ANTLIA,12.4,spring,1.8,149.9,-27.66666667,Galaxy,pF;pS;R;vS st inv ,,,
NGC3095,ESO435-26,ANTLIA,11.7,spring,3.6,150.025,-30.45,Galaxy,F;L;E;vgvlbM ,,,
NGC3100,NGC3103,ANTLIA,11.1,spring,3.2,150.175,-30.33333333,Galaxy,pB;pS;R;gpmbM ,,,
NGC3103,NGC3100,ANTLIA,12.1,spring,3.2,150.175,-30.33333333,Galaxy,eF;pL;R ,,,
NGC3108,ESO435-32,ANTLIA,11.8,spring,2.5,150.625,-30.31666667,Galaxy,F;S;R;glbM,,,
NGC3113,ESO435-35,ANTLIA,12.7,spring,3.3,151.1,-27.55,Galaxy,eF;L;Tri 2* 8m ,,,
NGC3120,ESO374-29,ANTLIA,12.8,spring,1.8,151.35,-33.78333333,Galaxy,F;pS;R;gbM,,,
NGC3125,ESO435-41,ANTLIA,13,spring,1.1,151.65,-28.06666667,Galaxy,cF;S;R;vgbM,,,
NGC3137,ESO435-47,ANTLIA,11.5,spring,6.2,152.275,-28.93333333,Galaxy,vF;S;lE ,,,
NGC3157,IC2555,ANTLIA,13.2,spring,2.5,152.925,-30.35,Galaxy,vF;pS;E;*8-9 sp,,,
NGC3173,ESO500-16,ANTLIA,12.8,spring,2.1,153.65,-26.3,Galaxy,eF;S;R;2 B st f,,,
NGC3175,ESO436-3,ANTLIA,11.2,spring,5.1,153.675,-27.13333333,Galaxy,cB;L;mE 51;vglbM,,,
NGC3223,IC2571,ANTLIA,11,spring,4.1,155.4,-33.73333333,Galaxy,pB;vL;vlE;pslbMN,,,
NGC3224,ESO375-13,ANTLIA,12,spring,1.9,155.425,-33.3,Galaxy,vF;pS;R;vgmbM ,,,
NGC3241,ESO436-16,ANTLIA,12.2,spring,2.4,156.075,-31.51666667,Galaxy,F;pmE;glbM;*11 np ,,,
NGC3244,ESO317-24,ANTLIA,12.3,spring,2.1,156.375,-38.16666667,Galaxy,vF;*11 n 90'' ,,,
NGC3249,ESO375-24,ANTLIA,13.1,spring,1.6,156.6,-33.03333333,Galaxy,eF;pL;R;vgvlbM ,,,
NGC3250,ESO317-26,ANTLIA,11.1,spring,2.7,156.625,-38.05,Galaxy,pB;pL;R;vgpsbM;*13;45,,,
NGC3250C,ESO317-28,ANTLIA,13.3,spring,1.7,156.925,-40,Galaxy,,,,
NGC3250A,ESO317-30,ANTLIA,14.8,spring,1.1,156.975,-39.91666667,Galaxy,,,,
NGC3250D,ESO317-31,ANTLIA,13.3,spring,1.7,157,-38.18333333,Galaxy,,,,
NGC3258A,ESO375-32,ANTLIA,13.2,spring,1.1,157.075,-34.55,Galaxy,,,,
NGC3257,ESO375-36,ANTLIA,13.1,spring,1,157.2,-34.33333333,Galaxy,vF;vS;R;psbM;0.0666667t of 4,,,
NGC3258,ESO375-37,ANTLIA,11.5,spring,3.3,157.225,-34.4,Galaxy,cF;S;R;pslbM;2nd of 4,,,
NGC3250E,ESO317-34,ANTLIA,12.5,spring,2.1,157.25,-39.91666667,Galaxy,,,,
NGC3260,ESO375-40,ANTLIA,12.6,spring,1.2,157.275,-34.4,Galaxy,vvF;vS;R;pslbM;3rd of 4 ,,,
NGC3267,ESO375-42,ANTLIA,12.5,spring,1.7,157.45,-34.68333333,Galaxy,eF;vS;R;0.0666667t of 4,,,
NGC3268,ESO375-45,ANTLIA,11.4,spring,4,157.5,-34.66666667,Galaxy,F;S;R;2nd of 4 ,,,
NGC3269,ESO375-44,ANTLIA,12.2,spring,2.4,157.5,-34.78333333,Galaxy,F;S;R;bM;3rd of 4 ,,,
NGC3275A,ESO375-46,ANTLIA,15.1,spring,1,157.525,-35.3,Galaxy,,,,
NGC3258B,,ANTLIA,15.2,spring,1,157.6,-34.43333333,Galaxy,,,,
NGC3271,IC2585,ANTLIA,11.8,spring,2.8,157.6,-34.63333333,Galaxy,pF;S;E;pmbM;4th of 4,,,
NGC3273,ESO375-49,ANTLIA,12.5,spring,1.6,157.625,-34.38333333,Galaxy,vF;vS;R;pslbM;4th of 4 ,,,
NGC3275,ESO375-50,ANTLIA,11.8,spring,2.8,157.725,-35.26666667,Galaxy,F;L;vlE;pslbM ,,,
NGC3276,ESO317-40,ANTLIA,13.4,spring,1,157.8,-38.05,Galaxy,F;S;*8 p ,,,
NGC3258C,ESO375-53,ANTLIA,13.7,spring,1.1,157.85,-34.78333333,Galaxy,,,,
NGC3278,ESO317-43,ANTLIA,12.3,spring,1.3,157.9,-38.05,Galaxy,F;S;R;D* nf,,,
NGC3258D,ESO375-58,ANTLIA,13.2,spring,1.6,157.975,-34.58333333,Galaxy,,,,
NGC3281,ESO375-55,ANTLIA,11.7,spring,3.2,157.975,-33.15,Galaxy,eF;pL;E;glbM ,,,
NGC3281B,,ANTLIA,14.6,spring,0.7,157.975,-34.8,Galaxy,,,,
NGC3281A,ESO375-59,ANTLIA,14.4,spring,1.2,158,-34.8,Galaxy,,,,
